Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","151","Netherlands Antilles (former)","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","74.711","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","151","Netherlands Antilles (former)","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","88.042","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","151","Netherlands Antilles (former)","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","23.992","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","151","Netherlands Antilles (former)","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","203.839","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","157","Nicaragua","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","6465.501","X","International reliable sources",""
"OA","Annual population","157","Nicaragua","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","3186.671","X","International reliable sources",""
"OA","Annual population","157","Nicaragua","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","3278.831","X","International reliable sources",""
"OA","Annual population","157","Nicaragua","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","2606.772","X","International reliable sources",""
"OA","Annual population","157","Nicaragua","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","3677.985","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","166","Panama","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","4176.869","X","International reliable sources",""
"OA","Annual population","166","Panama","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","2092.386","X","International reliable sources",""
"OA","Annual population","166","Panama","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","2084.482","X","International reliable sources",""
